Category,Name,Type,Example,Description
Search Recipes,diet,string,vegetarian,"The diet(s) for which the recipes must be suitable. You can specify multiple with comma meaning AND connection. You can specify multiple diets separated with a pipe | meaning OR connection. For example diet=gluten free,vegetarian means the recipes must be both, gluten free and vegetarian. If you specify diet=vegan|vegetarian, it means you want recipes that are vegan OR vegetarian. See a full list of supported diets."
Search Recipes,intolerances,string,gluten,A comma-separated list of intolerances. All recipes returned must not contain ingredients that are not suitable for people with the intolerances entered. See a full list of supported intolerances.
Search Recipes,equipment,string,pan,"The equipment required. Multiple values will be interpreted as 'or'. For example, value could be ""blender, frying pan, bowl"".See a full list of supported equipment."
Search Recipes,includeIngredients,string,"tomato,cheese",A comma-separated list of ingredients that should/must be used in the recipes.
Search Recipes,excludeIngredients,string,eggs,A comma-separated list of ingredients or ingredient types that the recipes must not contain.
Search Recipes,type,string,main course,The type of recipe. See a full list of supported meal types.
Search Recipes,instructionsRequired,boolean,true,Whether the recipes must have instructions.
Search Recipes,fillIngredients,boolean,false,Add information about the ingredients and whether they are used or missing in relation to the query.
Search Recipes,addRecipeInformation,boolean,false,"If set to true, you get more information about the recipes returned."
Search Recipes,addRecipeInstructions,boolean,false,"If set to true, you get analyzed instructions for each recipe returned. The addRecipeInformation parameter needs to be true for this to take effect."
Search Recipes,addRecipeNutrition,boolean,false,"If set to true, you get nutritional information about each recipes returned."
Search Recipes,author,string,coffeebean,The username of the recipe author.
Search Recipes,tags,string,myCustomTag,User defined tags that have to match. The author param has to be set.
Search Recipes,recipeBoxId,number,2468,The id of the recipe box to which the search should be limited to.
Search Recipes,titleMatch,string,Crock Pot,Enter text that must be found in the title of the recipes.
Search Recipes,maxReadyTime,number,20,The maximum time in minutes it should take to prepare and cook the recipe.
Search Recipes,minServings,number,1,The minimum amount of servings the recipe is for.
Search Recipes,maxServings,number,8,The maximum amount of servings the recipe is for.
Search Recipes,ignorePantry,boolean,true,"Whether to ignore typical pantry items, such as water, salt, flour, etc."
Search Recipes,sort,string,calories,The strategy to sort recipes by. See a full list of supported sorting options.
Search Recipes,sortDirection,string,asc,The direction in which to sort. Must be either 'asc' (ascending) or 'desc' (descending).
Search Recipes,minCarbs,number,10,The minimum amount of carbohydrates in grams the recipe must have per serving.
Search Recipes,maxCarbs,number,100,The maximum amount of carbohydrates in grams the recipe can have per serving.
Search Recipes,minProtein,number,10,The minimum amount of protein in grams the recipe must have per serving.
Search Recipes,maxProtein,number,100,The maximum amount of protein in grams the recipe can have per serving.
Search Recipes,minCalories,number,50,The minimum amount of calories the recipe must have per serving.
Search Recipes,maxCalories,number,800,The maximum amount of calories the recipe can have per serving.
Search Recipes,minFat,number,1,The minimum amount of fat in grams the recipe must have per serving.
Search Recipes,maxFat,number,100,The maximum amount of fat in grams the recipe can have per serving.
Search Recipes,minAlcohol,number,0,The minimum amount of alcohol in grams the recipe must have per serving.
Search Recipes,maxAlcohol,number,100,The maximum amount of alcohol in grams the recipe can have per serving.
